Datum;Start;Ende;Titel;Beschreibung;Jeden Tag;Arbeitszeit;Kunde
01.03.16;07:54;17:01;Arbeitszeit;;0;1;1
02.03.16;07:59;17:02;Arbeitszeit;;0;1;1
03.03.16;07:59;16:00;Arbeitszeit;;0;1;1
04.03.16;08:03;16:59;Arbeitszeit;;0;1;1
07.03.16;08:06;17:00;Arbeitszeit;;0;1;1
08.03.16;08:09;16:42;Arbeitszeit;;0;1;1
09.03.16;08:08;16:48;Arbeitszeit;;0;1;1
10.03.16;08:08;16:46;Arbeitszeit;;0;1;1
11.03.16;;;Krank;;0;0;
14.03.16;;;Krank;;0;0;
15.03.16;;;Krank;;0;0;
16.03.16;;;Krank;;0;0;
17.03.16;08:10;17:01;Arbeitszeit;;0;1;1
18.03.16;08:08;16:50;Arbeitszeit;;0;1;1
21.03.16;;;Urlaub;;0;0;
22.03.16;;;Urlaub;;0;0;
23.03.16;;;Urlaub;;0;0;
24.03.16;;;Urlaub;;;0;
29.03.16;07:45;17:00;Arbeitszeit;;0;1;1
30.03.16;07:41;17:05;Arbeitszeit;;0;1;1
31.03.16;07:43;16:51;Arbeitszeit;;0;1;1
